City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Lavrentiya,RU,2022-08-14 21:48:22,65.5833,-171.0,42.3,67,38,3.6,scattered clouds
160,Dongzhen,CN,2022-08-14 21:48:22,22.3797,110.9389,76.68,96,43,1.57,scattered clouds
161,Richards Bay,ZA,2022-08-14 21:48:23,-28.783,32.0377,59.95,62,21,5.46,few clouds
162,Vasto,IT,2022-08-14 21:48:24,42.1243,14.7059,75.15,56,7,6.38,clear sky
163,Cloquet,US,2022-08-14 21:48:25,46.7216,-92.4594,78.19,65,4,4.32,clear sky
164,Kruisfontein,ZA,2022-08-14 21:41:55,-34.0033,24.7314,46.89,63,91,18.99,overcast clouds
165,Port-Gentil,GA,2022-08-14 21:48:27,-0.7193,8.7815,75.16,83,100,4.61,overcast clouds
166,Agirish,RU,2022-08-14 21:48:28,61.9247,63.0231,41.54,84,24,3.76,few clouds
167,Yulara,AU,2022-08-14 21:48:28,-25.2406,130.9889,54.28,54,0,6.49,clear sky
168,Fortuna,US,2022-08-14 21:48:28,40.5982,-124.1573,64.65,85,75,16.11,broken clouds
169,Hobyo,SO,2022-08-14 21:48:29,5.3505,48.5268,76.28,88,100,22.86,overcast clouds
170,Arraial Do Cabo,BR,2022-08-14 21:48:29,-22.9661,-42.0278,69.76,73,0,19.57,clear sky
171,Rawson,AR,2022-08-14 21:48:30,-43.3002,-65.1023,52.5,39,83,14.29,broken clouds
172,Catamarca,AR,2022-08-14 21:48:30,-28.4696,-65.7852,84.78,24,0,3.0,clear sky
173,Batagay-Alyta,RU,2022-08-14 21:48:31,67.8006,130.4114,51.44,76,4,2.77,clear sky
174,Verkhoyansk,RU,2022-08-14 21:48:31,67.5447,133.385,55.42,74,50,1.97,scattered clouds
175,Kamenka,RU,2022-08-14 21:48:31,51.3223,42.7678,70.02,46,58,11.7,broken clouds
176,Kavaratti,IN,2022-08-14 21:44:32,10.5669,72.642,80.85,79,100,11.01,overcast clouds
177,Jasidih,IN,2022-08-14 21:48:32,24.5167,86.65,76.32,92,100,20.09,overcast clouds
178,Lebu,CL,2022-08-14 21:42:31,-37.6167,-73.65,46.85,77,74,15.68,broken clouds
179,Portland,US,2022-08-14 21:44:49,45.5234,-122.6762,86.63,45,20,5.75,few clouds
180,Laguna,US,2022-08-14 21:37:36,38.421,-121.4238,101.14,20,0,8.05,clear sky
181,Baruun-Urt,MN,2022-08-14 21:47:03,46.6806,113.2792,54.23,95,95,6.17,overcast clouds
182,Tomatlan,MX,2022-08-14 21:49:33,19.9333,-105.25,85.15,70,86,7.14,overcast clouds
183,Thompson,CA,2022-08-14 21:45:29,55.7435,-97.8558,75.36,38,20,5.75,few clouds
184,Isangel,VU,2022-08-14 21:49:33,-19.55,169.2667,77.11,83,75,11.5,broken clouds
185,Nelson Bay,AU,2022-08-14 21:49:34,-32.7167,152.15,55.0,78,5,10.0,clear sky
186,Castro,BR,2022-08-14 21:49:35,-24.7911,-50.0119,58.66,69,2,4.56,clear sky
187,Carolina,PR,2022-08-14 21:45:24,18.3808,-65.9574,86.76,81,40,10.36,scattered clouds
188,Oksfjord,NO,2022-08-14 21:49:36,70.2396,22.3479,44.67,87,98,2.84,overcast clouds
189,Podosinovets,RU,2022-08-14 21:49:37,60.2776,47.0659,51.35,80,11,1.86,few clouds
190,Martapura,ID,2022-08-14 21:49:38,-3.4167,114.85,73.49,100,75,1.14,broken clouds
191,Mount Isa,AU,2022-08-14 21:49:39,-20.7333,139.5,37.17,70,59,0.0,broken clouds
192,Santa Fe,AR,2022-08-14 21:48:07,-31.6333,-60.7,76.01,64,10,3.0,clear sky
193,Gejiu,CN,2022-08-14 21:49:40,23.306,103.1635,57.16,95,48,0.29,scattered clouds
194,Do Gonbadan,IR,2022-08-14 21:49:40,30.3586,50.7981,82.49,34,0,0.0,clear sky
195,Balabac,PH,2022-08-14 21:49:41,7.9868,117.0645,79.23,77,99,3.98,overcast clouds
196,Sambava,MG,2022-08-14 21:49:41,-14.2667,50.1667,66.15,89,86,7.61,light rain
197,Palas,ID,2022-08-14 21:49:42,-5.6519,105.6801,76.96,87,95,1.97,overcast clouds
198,Hailey,US,2022-08-14 21:49:42,43.5196,-114.3153,87.89,28,75,27.0,broken clouds
199,Chuy,UY,2022-08-14 21:49:43,-33.6971,-53.4616,58.71,87,0,9.73,clear sky
200,Kodiak,US,2022-08-14 21:49:43,57.79,-152.4072,54.91,88,100,4.61,overcast clouds
201,Hami,CN,2022-08-14 21:49:43,42.8,93.45,77.31,23,0,9.84,clear sky
202,Presidente Medici,BR,2022-08-14 21:49:43,-11.1753,-61.9014,89.69,27,20,3.0,few clouds
203,Kisangani,CD,2022-08-14 21:49:44,0.5167,25.2,69.58,98,97,1.1,overcast clouds
204,Nanortalik,GL,2022-08-14 21:48:26,60.1432,-45.2371,44.8,97,98,9.84,overcast clouds
205,Asilah,MA,2022-08-14 21:49:44,35.465,-6.0348,73.36,77,0,10.36,clear sky
206,Piritiba,BR,2022-08-14 21:49:45,-11.7303,-40.5553,68.59,73,91,9.19,overcast clouds
207,Morondava,MG,2022-08-14 21:49:39,-20.2833,44.2833,72.82,78,0,5.95,clear sky
208,Socorro,US,2022-08-14 21:49:47,31.6546,-106.3033,97.11,21,40,6.91,scattered clouds
209,Guerrero Negro,MX,2022-08-14 21:49:48,27.9769,-114.0611,83.91,50,10,16.08,clear sky
210,Goderich,CA,2022-08-14 21:45:28,43.7501,-81.7165,74.91,53,100,11.5,overcast clouds
211,General Roca,AR,2022-08-14 21:49:49,-39.0333,-67.5833,56.62,36,91,23.6,overcast clouds
212,Morris,US,2022-08-14 21:49:49,40.8334,-74.5329,82.38,45,61,4.0,broken clouds
213,Bathsheba,BB,2022-08-14 21:49:50,13.2167,-59.5167,84.81,74,75,10.36,broken clouds
214,Waynesville,US,2022-08-14 21:49:50,35.4887,-82.9887,80.89,79,97,1.01,overcast clouds
215,Imbituba,BR,2022-08-14 21:45:07,-28.24,-48.6703,66.09,90,16,13.0,few clouds
216,Mongoumba,CF,2022-08-14 21:49:51,3.6415,18.5936,71.42,90,100,0.51,overcast clouds
217,Ondangwa,NA,2022-08-14 21:49:51,-17.9167,15.95,61.43,22,0,6.64,clear sky
218,Churapcha,RU,2022-08-14 21:49:51,62.0025,132.4325,60.49,83,100,4.99,overcast clouds
219,Cidreira,BR,2022-08-14 21:49:52,-30.1811,-50.2056,61.3,91,97,13.94,overcast clouds
220,San Vicente,AR,2022-08-14 21:49:52,-26.6167,-54.1333,60.71,91,35,2.57,scattered clouds
221,Honningsvag,NO,2022-08-14 21:49:52,70.9821,25.9704,47.95,81,20,10.36,few clouds
222,Beloha,MG,2022-08-14 21:49:53,-25.1667,45.05,68.58,54,33,6.64,scattered clouds
223,Cap Malheureux,MU,2022-08-14 21:49:53,-19.9842,57.6142,70.47,65,88,7.0,overcast clouds
224,Sankheda,IN,2022-08-14 21:49:54,22.1667,73.5833,76.51,92,96,8.72,light rain
225,Sydney,AU,2022-08-14 21:46:56,-33.8679,151.2073,52.9,66,0,10.36,clear sky
226,Sarandi,BR,2022-08-14 21:50:55,-23.4436,-51.8739,80.15,36,0,11.5,clear sky
227,Klaksvik,FO,2022-08-14 21:50:55,62.2266,-6.589,52.72,86,95,2.51,overcast clouds
228,Celestun,MX,2022-08-14 21:50:55,20.8667,-90.4,84.4,71,96,12.17,overcast clouds
229,Borogontsy,RU,2022-08-14 21:50:56,62.6683,131.1683,58.12,94,100,2.84,light rain
230,Tura,IN,2022-08-14 21:50:57,25.5198,90.2201,73.74,92,96,5.64,moderate rain
231,Almeria,ES,2022-08-14 21:50:57,37.1667,-2.3333,77.43,46,4,3.8,clear sky
232,Sitka,US,2022-08-14 21:50:57,57.0531,-135.33,60.69,88,100,3.44,mist
233,Bundaberg,AU,2022-08-14 21:46:29,-24.85,152.35,56.21,82,0,3.0,clear sky
234,Ranot,TH,2022-08-14 21:50:58,7.7777,100.3213,80.08,80,9,5.68,clear sky
235,Huarmey,PE,2022-08-14 21:50:59,-10.0681,-78.1522,65.52,77,1,12.62,clear sky
236,Jijiga,ET,2022-08-14 21:50:59,9.35,42.8,67.19,61,97,21.14,overcast clouds
237,Airai,TL,2022-08-14 21:50:59,-8.9266,125.4092,54.61,71,13,3.56,few clouds
