City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
67,Abu Zabad,SD,71.35,light rain,12.35,29.25,حامد محمد نور
70,Kloulklubed,PW,73.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
71,Ribeira Grande,PT,76.57,light rain,38.5167,-28.7,Quinta da Meia Eira
73,Karratha,AU,71.49,clear sky,-20.7377,116.8463,ibis Styles Karratha
75,Kavieng,PG,81.68,broken clouds,-2.5744,150.7967,Nusa Island Retreat
77,Georgetown,MY,79.95,thunderstorm,5.4112,100.3354,Cititel Penang
83,Pangkalanbuun,ID,73.18,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
84,Bengkulu,ID,76.57,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
87,Tacoronte,ES,72.12,fog,28.4769,-16.4102,Casa Laurel
89,Douentza,ML,90.79,overcast clouds,14.9951,-2.9517,Ogomono Doumbo
91,Richmond,US,83.05,broken clouds,37.5538,-77.4603,"Holiday Inn Express Richmond - Downtown, an IHG Hotel"
94,Kirakira,SB,82.47,scattered clouds,-10.4544,161.9205,SanBiz Lodge
100,Lagoa,PT,75.0,clear sky,39.05,-27.9833,Casa Das Faias
101,Hithadhoo,MV,82.36,overcast clouds,-0.6,73.0833,Scoop Guest House
103,Bandarbeyla,SO,76.19,overcast clouds,9.4942,50.8122,JABIR HOTEL
106,Lakatoro,VU,78.4,light rain,-16.0999,167.4164,Lakatoro Palm Lodge
107,Banmankhi,IN,79.27,overcast clouds,25.8833,87.1833,AMITESH KUMAR SINGH
109,Tacarigua,VE,71.6,overcast clouds,10.0862,-67.9198,Posada Tacarigua C.A.
110,Hamilton,US,78.78,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
111,Labuhan,ID,76.75,scattered clouds,-6.8844,112.2051,DoubleFAG
112,Conde,BR,76.46,few clouds,-7.2597,-34.9075,Pousada Beija Flor
113,Suwanee,US,90.03,broken clouds,34.0515,-84.0713,Fairfield Inn & Suites by Marriott Atlanta Suwanee
115,Tual,ID,79.18,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
119,San Cristobal,VE,78.98,scattered clouds,7.7669,-72.225,Pirineos
120,Faanui,PF,78.71,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
123,Santa Cruz,BO,85.46,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
126,Pauini,BR,88.59,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
129,Diffa,NE,76.64,overcast clouds,13.3154,12.6113,ProDAF/Diffa
130,Kamariotissa,GR,73.33,scattered clouds,40.4833,25.4667,Niki Beach
131,Beauceville,CA,74.86,scattered clouds,46.2179,-70.7787,Motel Royal
135,Port Hawkesbury,CA,72.91,mist,45.6169,-61.3485,MacKenzie House Tourist Home B&B
136,Matadi,CD,71.33,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
140,Kasongo,CD,77.27,overcast clouds,-4.45,26.6667,Guest Hôtel
142,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
145,Victoria,HK,84.33,scattered clouds,22.2855,114.1577,Mini Central
147,Gainesville,US,90.09,clear sky,29.6516,-82.3248,Stayable Select
148,Black River,JM,84.85,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
149,Bull Savanna,JM,82.63,scattered clouds,17.8868,-77.5902,Big Red's
153,Pundri,IN,79.57,overcast clouds,29.75,76.55,गर्ग फार्मेसी
156,Ponta Do Sol,PT,73.71,clear sky,32.6667,-17.1,Hotel do Campo
157,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
160,Dongzhen,CN,76.68,scattered clouds,22.3797,110.9389,茂名中汇时尚酒店
162,Vasto,IT,75.15,clear sky,42.1243,14.7059,Hotel President
163,Cloquet,US,78.19,clear sky,46.7216,-92.4594,Super 8 by Wyndham Cloquet
165,Port-Gentil,GA,75.16,overcast clouds,-0.7193,8.7815,Fengshui Residence
169,Hobyo,SO,76.28,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
172,Catamarca,AR,84.78,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
176,Kavaratti,IN,80.85,overcast clouds,10.5669,72.642,Green leaf
177,Jasidih,IN,76.32,overcast clouds,24.5167,86.65,OYO 18873 Hotel Comfort
179,Portland,US,86.63,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
182,Tomatlan,MX,85.15,overcast clouds,19.9333,-105.25,El Salvial
183,Thompson,CA,75.36,few clouds,55.7435,-97.8558,Burntwood Hotel
184,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
187,Carolina,PR,86.76,scattered clouds,18.3808,-65.9574,Motel Fantasy Star
190,Martapura,ID,73.49,broken clouds,-3.4167,114.85,Montana Hotel Syariah
192,Santa Fe,AR,76.01,clear sky,-31.6333,-60.7,Conquistador Hotel
194,Do Gonbadan,IR,82.49,clear sky,30.3586,50.7981,مسافرخانه شادی
195,Balabac,PH,79.23,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
197,Palas,ID,76.96,overcast clouds,-5.6519,105.6801,TIMBUL JAYA
198,Hailey,US,87.89,broken clouds,43.5196,-114.3153,Wood River Inn & Suites
201,Hami,CN,77.31,clear sky,42.8,93.45,Laoyutang Resort
202,Presidente Medici,BR,89.69,few clouds,-11.1753,-61.9014,Oliveira Palace Hotel
205,Asilah,MA,73.36,clear sky,35.465,-6.0348,Hotel Zelis
207,Morondava,MG,72.82,clear sky,-20.2833,44.2833,La Case Bambou
209,Guerrero Negro,MX,83.91,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
210,Goderich,CA,74.91,overcast clouds,43.7501,-81.7165,Harmony Inn
212,Morris,US,82.38,broken clouds,40.8334,-74.5329,Parsippany Inn and Suites Morris Plains
213,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
214,Waynesville,US,80.89,overcast clouds,35.4887,-82.9887,Best Western Smoky Mountain Inn
223,Cap Malheureux,MU,70.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
224,Sankheda,IN,76.51,light rain,22.1667,73.5833,Jalaram Bhojnalay
226,Sarandi,BR,80.15,clear sky,-23.4436,-51.8739,HOTEL GRALHA AZUL (GAPH) - Maringá
228,Celestun,MX,84.4,overcast clouds,20.8667,-90.4,Posada Lilia
230,Tura,IN,73.74,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
231,Almeria,ES,77.43,clear sky,37.1667,-2.3333,Casa Rural El Laurel
234,Ranot,TH,80.08,clear sky,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
238,Noumea,NC,75.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
239,Chapais,CA,73.18,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
246,Nortelandia,BR,86.38,clear sky,-14.4547,-56.8028,Pousada e Restaurante Santana
248,Lahad Datu,MY,73.17,overcast clouds,5.0268,118.327,The 27th House
253,Hasaki,JP,79.29,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
255,Athabasca,CA,75.61,clear sky,54.7169,-113.2854,Athabasca Lodge Motel
257,Adamas,GR,76.53,clear sky,36.7333,24.4333,Aphrodite of Milos
258,Economy,US,72.16,overcast clouds,40.6001,-80.2248,Forest Brook Mobile Home Park
259,Nazas,MX,88.41,broken clouds,25.2333,-104.1333,Hotel Río Nazas
260,Bambous Virieux,MU,70.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
262,Inhambane,MZ,71.51,few clouds,-23.865,35.3833,Oceano
263,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
265,Torbay,CA,72.55,overcast clouds,47.6666,-52.7314,Gallows Cove
266,Sao Domingos,BR,75.78,clear sky,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
269,Lodwar,KE,85.05,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
270,Porto Velho,BR,91.45,broken clouds,-8.7619,-63.9039,Ecos Hotel Conforto
271,Marfino,RU,70.05,clear sky,55.7028,37.3822,Nemchinovka-Park
272,Umm Lajj,SA,85.48,broken clouds,25.0213,37.2685,Moon light Furnished Units
273,Kupang,ID,73.35,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
274,Katobu,ID,71.87,scattered clouds,-4.9408,122.5276,La Ode Husein
275,Cao Bang,VN,74.53,scattered clouds,22.6667,106.25,khách sạn 88
276,Culpeper,US,73.83,overcast clouds,38.5004,-77.9664,Suites at 249
277,Trairi,BR,77.92,scattered clouds,-3.2778,-39.2689,janelas do mar
278,Sao Filipe,CV,77.58,broken clouds,14.8961,-24.4956,Hotel Xaguate
279,Alyangula,AU,70.34,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
280,Gorontalo,ID,75.09,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
282,San Quintin,MX,77.92,clear sky,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
